,Names,real
141,حسناء عبدربه حكيم,1
142,فائقة حا زشدآدي,0
143,انجةد يطيم أبان,0
144,عبدالمنعم منتصر راسخ,1
145,جودة حسنين أديب,1
146,إفىق حافظ شديد,0
147,فائقة حافظ ءيلد,0
148,ابتهال ففعي عبيد,0
149,فتاوئقة حافظ شد,0
150,دائة حافظ دشدي,0
151,شيبان فرحات مدحة,1
152,طيب اتخم لمةي,0
153,شداد عبدالنور رابح,1
154,راسخة نائل شادي,1
155,ريان نسيم خليوي,1
156,ضيف نواس بكري,1
157,رهيفة معتصم محيا,1
158,إياس عبدالرقيب موفق,1
159,أرقم قيس شافي,1
160,لانا رويشد عببدزاب,0
161,بكر زشفع عزة,0
162,جبرة هشام أبان,1
163,تماضر رضا فضيل,1
164,اميا رافد حمنيار,0
165,هء بعادصلمد آأزتور,0
166,رحمة ءرمكاح ان,0
167,ائق شحطافظ دشدي,0
168,تتبو عنترة عمران,0
169,عابد ممدوح أبو بكر,1
170,بليغ قدري برد,1
171,عدي مؤيد أحمد,1
172,بسيمة سيد أخزم,1
173,غزل ىدشم لقمان,0
174,منيرة عرفة أسمر,1
175,سلمى شمس الدين مساعد,1
176,فصيحة مسلم محرز,1
177,حميد مزهر نوار,1
178,غلام فيض إسماعيل,1
179,ائق حاظفدظ شديد,0
180,وىكزرث أيوب عج,0
181,أاعاثتمد دي سديم,0
182,فئاةق حاطفضظ دد,0
183,خزينة شافع لبيب,1
184,ضياء نظير سلمة,1
185,إنصاف جودة أصمؤ,0
186,إبراهيم ظاهر فالح,1
187,شذى لدوؤعان مج,0
188,بهيج مطاع عبدالهادي,1
189,رفيع زيدان عقال,1
190,جنا دهظكار نر,0
191,فاةىئبق حا شديد,0
192,افقئة حاوفحظ شي,0
193,زايد زين ناجي,1
194,هند أغيد طامح,1
195,شروق محسن طارق,1
196,يفةائقة حافظ يد,0
197,فائقة حظ شثدأيد,0
198,مطاعة معاذ جهاد,1
199,فائقة حافظ دءيش,0
200,أغلب محمد حمدون,1
201,شكرية زياد عوني,1
202,أحنف مرسي عوض,1
203,هانئة طلال قتيبة,1
204,فاة احظف حشدىيد,0
205,زين زاهي عبيدة,1
206,نآحبسية اء مسفر,0
207,ساهر شادي فهيم,1
208,هيفاء مدشت حمدت,0
209,صبفغاء بع رطفي,0
210,فصيحة إم نمسعكود,0
211,حصة معتصم عقلة,1
212,غازي كريم ناهي,1
213,جودة مطاوع منذر,1
214,حزام شكري كمال,1
215,نهى تائب مشاري,1
216,أفراح سارح فريد,1
217,نجد مغوار ئمني,0
218,ائة حافظ سدشدذي,0
219,خالد جبران عصام,1
220,عبدالحليم نجدت فرج,1
221,افئ حافظ شصديرد,0
222,باسل عفيف معطي,1
223,عبدالحليم عراب براء,1
224,فثائضقة حافظ دش,0
225,زيدان حكيم عليان,1
226,رجيحة غفار نزار,1
227,عقاب داود إياد,1
228,تفنو زيد مةصم,0
229,عواد عكلة مخلف,1
230,أرغد ناصيف حفص,1
231,فخائبقة اظ دشدي,0
232,منتهى جبل قداح,1
233,فائقة حافظ شدأد,0
234,بمة حعبدؤالقفادر إاسي,0
235,رامة غزوان كمال,1
236,فائقة فحرانظ دي,0
237,مرام لبيد أدغم,1
238,مجيبة راتب قادر,1
239,دحام حمد أكمل,1
240,ايا ابعر ىنظشمي,0
241,نشوى أمية ضاهر,1
242,راتبة لطيف قابوس,1
243,إفائ حافظ شديد,0
244,شروق ثصاءدر غد,0
245,نشوى فالح شريح,1
246,سمة بزلطدي بل,0
247,شافي هانئ عبدالباسط,1
248,توفيق ميلاد عجرم,1
249,تامر نصرة غالي,1
250,فائو افحظ شديد,0
251,أشقر ساجر باسق,1
252,ظاهر خلف تميم,1
253,ساهر مهند فؤاد,1
254,منال رشيد أمان,1
255,عراب سلام مرداس,1
256,العابدين سعدون أدعج,1
257,ليان تعؤل لخيةف,0
258,رفائقصة اظ دشدي,0
259,فائقة اظ شؤدزدي,0
260,افقئة حف شةديطد,0
261,بشارة إسحاق صفوان,1
262,بارع أبلج مجيب,1
263,رغد هواري مبجر,0
264,شوكت إسحاق جازم,1
265,صابر خليوي يزيد,1
266,وفائقية حظ شديد,0
267,فائقة حافظ شؤيد,0
268,كفائقية حافظ شي,0
269,فائقة شفمظ دشدي,0
270,نظيرة معين الدين مجيب,1
271,عابد عياش حارث,1
272,زءاقر داود هانئ,0
273,ذاكر مخلد فؤاد,1
274,سدر موفق عدباللفطي,0
275,تغلب ولاء الدين حاشد,1
276,أميمة خزعل سيار,1
277,كاملة عراد باسل,1
278,حسن ولاء الدين تركي,1
279,مغارو فتح تىيا,0
280,فائقة حافظ دصدي,0
281,عباس صلاح رشيد,1
282,بهيسة مرتمضؤى وث,0
283,ةفئالةق حا شديد,0
284,رائف بلال ظاهر,1
285,كبىر فضل نمر,0
286,حمدان حسين جبر,1
287,ونار مفاؤ عمر,0
288,ففائظقة احظف يد,0
289,أميمة فرناس ضرام,1
290,عبدالغفور نجم الدين غفار,1
291,عامر كليم سمعون,1
292,فائقة حظ شدتيحد,0
293,حليمة بهشض عفيف,0
294,أشقر خزعل خازن,1
295,زإبارء عم انفص,0
296,أمية رشاد المثنى,1
297,فائقة جحؤافظ دي,0
298,جفائفقة حافظ دي,0
299,اةئ حافظ شصدصيد,0
300,سرور العابدين حمدون,1
301,اندي عامر تركي,0
302,ربيع شديد حافظ,1
303,فائ حشائفظ شددي,0
304,فائقة افةح شديد,0
305,حجر أغلب نايف,1
306,شداد نسيب عون,1
307,أهيم سادن زيد,1
308,فردوس عارف قاسم,1
309,صفوت شبيب عبدالباقي,1
310,سهل سعد سامح,1
311,طموح ميمون البراء,1
312,افئ حافظ ؤشدياد,0
313,حوراء ساعف مبروك,1
314,ماد لبؤاوب شوكت,0
315,ئةق حافظ طشدياد,0
316,جراح محيا خميس,1
317,آء سعود طازهةر,0
318,ءفاة حافظ دشدي,0
319,ارويةد غوار حو,0
320,شاكر مجاور مطاوع,1
321,فئق لاحةظف شديد,0
322,فئق ثحدظاف شديد,0
323,رامز غالي شعبان,1
324,ستار ثواب جدعان,1
325,ومبهة عبدالرقيب سمصح,0
326,فئق حتافحظ شديد,0
327,افة حآافإظ شديد,0
328,خفائقجة حافظ شد,0
329,تغاني وسام صهيب,1
330,جفاآئقة حفظا دد,0
331,فائقة ثافت شديد,0
332,طنجوا سيدو حارث,0
333,راجي هواري سلمة,1
334,ثراء عبدالحق زبير,1
335,خميس رافع عبدالباقي,1
336,آية كمال ناصح,1
337,مناير عيلنا جاسم,0
338,ءافائةق اظ شديد,0
339,عاطف يحيى تركي,1
340,غالي بندر هاشم,1
341,راجح صميم عبدالجبار,1
342,فىائإقة حافظ شد,0
343,فاقةئ دحافسظ شد,0
344,يأنمامر لس زكريا,0
345,فئىة حافظ شددي,0
346,فائقة حاؤف شيدد,0
347,عبدالرحيم منتظر رفعت,1
348,رشا مشعل هود,1
349,مءنذئرة اد حامد,0
350,هديل ذعار حجر,1
351,فائقة ئحضافظ دي,0
352,يسرى مصقو بكار,0
353,مقبلة زجام شأفت,0
354,ال فييض بفارىح,0
355,رامة عبدالرزاق إحسان,1
356,سلطان باهر علاء,1
357,ذبيانة عكرمة ملحم,1
358,شروق حمدان مجدي,1
359,فائقة فظ ديذشظد,0
360,سحيم فيض عبدالمنان,1
361,أوس نامي لبيد,1
362,لؤؤة معروف عبادلمطلب,0
363,رغد أدغم عبده,1
364,شفيق شيبة راسخ,1
365,ائق افحظ ظشديحد,0
366,تمارة زبير شوقي,1
367,فائقة حظ شأدئيد,0
368,باسم عوض لطيف,1
369,إيمان عبداللطيف أوس,1
370,طفذائقة حافظ شي,0
371,مهرة عمرو عمار,1
372,فائقة افذظ شديد,0
373,وسن عبدالغني شهاب,1
374,تئقة حافظ شيدد,0
375,عشير حاشد عبدالعليم,1
376,فائقة حافظ أدشد,0
377,تالا قتادة راجح,1
378,فائقة حظ اشأديد,0
379,بادي قادر بارع,1
380,حوؤياةر كرم اوو,0
381,فاهق حافظ شديد,0
382,لبانة عبدالرب ذعار,1
383,ذززة علوان ربحا,0
384,جنادة أسامة نضير,1
385,سهيل قصي مشرف,1
386,غيد معين الدين نصار,1
387,فائ حافظ شصديرد,0
388,روابي نعمان هائل,1
389,جازم مطاع وهبة,1
390,ثروت يحيى جندل,1
391,فلوة مخلد مهدي,1
392,اء عأحرلس عايض,0
393,فية ئرشلكي رافع,0
394,شماخ ماجد ربيع,1
395,فئة حافظ شثديزد,0
396,نداء فعصاوكن نر,0
397,أم كلثوم عبده ناشر,1
398,سالم قابوس فيضي,1
399,ضاهر أمان فيصل,1
400,كاظمة خاتم ورد,1
401,ميمونة عامر فارع,1
402,عفاف رآارسهي عوض,0
403,نظيارعة كو فرج,0
404,فائقة اف ضشدييد,0
405,مثابة أغلب كرم,1
406,صفوت مدثر شافي,1
407,فائقة حافظ ودحد,0
408,رغد حأيد حنبل,0
409,فائقة ظافظ شديد,0
410,أمير غوار حواس,1
411,أدغم مالك أدهم,1
412,نية عضصمزت اعذئ,0
413,ريما مدحت جبران,1
414,صفوت مضر ظافر,1
415,وليفة عبدالمطلب غنيم,1
416,شامخ غنيم إياس,1
417,فائقة حإاظ شديد,0
418,ساهر لماح فائق,1
419,رافقة فواز درغام,1
420,شماخ طريف مطاوع,1
421,موزة منيع سبع,1
422,لارا رفيق وديع,1
423,بانة أر مؤعتضءد,0
424,فائقة حماظفظ شد,0
425,سالم عبدي محجن,1
426,عادل سامر عائد,1
427,اعتدال انحص علاص,0
428,فاقةئ حافظ مديد,0
429,فاتن جابر ياسر,1
430,غيث أبان عبيد,1
431,ريفةع حاق سعئوذد,0
432,بكر جراح هواري,1
433,فائحقءة اظ دشدي,0
434,شذى عبدالمطلب مقرن,1
435,شوق دهري غوار,0
436,حواس طامح سيد,1
437,عبلة نجم الدين عجرم,1
438,فائقة حظ ششدشيد,0
439,سلطان بدر رامي,1
440,أمين فهمي أشقر,1
441,صفوان سليم جنادة,1
442,لانا خليوي حامد,1
443,رولا ماضي زاخل,0
444,فائقة اف شسدياد,0
445,شفيق أبلج شاهد,1
446,زياد مجدي نصوح,1
447,نورا شجاع محرم,1
448,ليلى عقلة ساجد,1
449,ضء ءاذرناي شذى,0
450,فائقة حظ ششدبيد,0
451,فائقة حاأفخظ دد,0
452,ثوبة ميخل شاهر,0
453,فائقة فحاإفظ شي,0
454,فئقاة حافظ شدطي,0
455,فائقة احظف زشيد,0
456,ةفائخقة حافظ يد,0
457,حئةى حافظ شديد,0
458,سبع زاهي عبدالهادي,1
459,أمارة عواد بكري,1
460,يثر معرنا ؤأرشيب,0
461,ازدهار هزاع سارح,1
462,حسنين فاروق جمعة,1
463,خئديجلة جي لعينا,0
464,سمة مجيب شبارء,0
465,عز إياس شيبان,1
466,أسامة منصف مبرور,1
467,تيسير نصرت عليم,1
468,طارق شماخ مزاحم,1
469,نشوة عثمان قسام,1
470,طاهر صادح هائل,1
471,هدى الرزبءكا عدلغن,0
472,مين رمتعآب جساي,0
473,إياس مشعل عيد,1
474,بيان اندش مسثت,0
475,شفظائقة حافظ يش,0
476,هان همبقرن ومسا,0
477,رفيع ساعف فواز,1
478,فائقة باحظآف دي,0
479,نشوى عزبدالثقيقوم رحن,0
480,فائ حافظ شثديود,0
481,عياييدة اد سعد,0
482,أيمن خازن حاتم,1
483,بائقة رافي جنادة,1
484,فئة حافظ اشىديد,0
485,ثفامئقة فظ شديد,0
486,ريفان جميل أزهر,1
487,نداء مظهر عاكف,1
488,لئةق حافظ شديد,0
489,عبدالقيوم غوار عتاب,1
490,جود حفص فيصل,1
491,أميرة جبر هاشم,1
492,آيات حميد عاطف,1
493,فائقة حافظ شودي,0
494,صميم مروان وهبة,1
495,عجرم حفص ساهد,1
496,إبراهيم حجر فائق,1
497,أديب تواب سيار,1
498,دلرلمك وليفة سة,0
499,فئة حافظ يةششدد,0
500,ئقة ذحافةظ شيدد,0
501,أدغم فاخر نواس,1
502,أسارير أخزم كلاب,1
503,دري نؤمدطي هائل,0
504,رعد حسون نصير,1
505,ساعد يزيد وسيم,1
506,هدير سعيد دهان,0
507,حفص عبدالنور غنيم,1
508,خلف زيد عمارة,1
509,يمنهرة لة ساري,0
510,سعيدة عواد فرحات,1
511,حزم بكري إدريس,1
512,سدن عجرم أحنف,1
513,ود نيغث فخر,0
514,بشاير مرحب فرحات,1
515,غيثة رائف جلال,1
516,مثابة سميع يزيد,1
517,شافي باسق فتاح,1
518,عنتر فارع غريب,1
519,جوري هجرس شديد,1
520,رسمية مدثر معد,1
521,شافشئةق فظ شديد,0
522,ريفان نايف رفيع,1
523,كبرى عبدالعظيم فليح,1
524,زكيو سمعدو أحنف,0
525,سيار دهيم خباب,1
526,فائقة حافظ شسدا,0
527,فائتقية اظ شددي,0
528,غنيم راشد خاتم,1
529,فيكصىة غس رمضان,0
530,رفيع شديد رغيب,1
531,فائقة انحثظف شد,0
532,سفة حمشدوإن سإحقا,0
533,ساجر فيضي سمير,1
534,ميثاء شافع جودت,1
535,حزام أدعج سهل,1
536,أغيد ركين أغيد,1
537,رائد نذير رامي,1
538,عكاشة لؤي أعسر,1
539,فائقة حافظ يؤدد,0
540,ممدوحة نبيل فارض,1
541,سهيلة قاسم رافق,1
542,ري ىازيزد شريح,0
543,أنس سأىغ رشا,0
544,ففافئقة حافظ يد,0
545,فاقةئ حتافهظ دي,0
546,غفائقظة اف شددي,0
547,فاهئقهة حف ديشد,0
548,فاقةئ حصانفظ شي,0
549,مسك داود درغام,1
550,فائقة حا شدؤيند,0
551,كفى رخ ءأيظمن,0
552,كيان فهمي شامخ,1
553,افقفئخة حافظ شد,0
554,جوى أكبر ماجد,1
555,فئاةق غامظ شديد,0
556,فئة أحافهظ شديد,0
557,رمزي نوفل ضرار,1
558,جمانة مجيب نائل,1
559,صمصام عبدالباسط أحمد,1
560,فائقة حاؤظ شديد,0
561,هنادي لابز عون,0
562,ليلى حي جضريإر,0
563,هند كرم شىبق,0
564,المثنى حيدر لماح,1
565,كم لاوء اطخن عوقاةب,0
566,عبدالقدوس صديق عبدالباسط,1
567,فئق حافظ دخشدءي,0
568,غزيل عبدالمنان جاسم,1
569,ساهر سنان مشتاق,1
570,فائقة حظاف شصدي,0
571,يانشراشف إسحاق مصح,0
572,إمام أمان شهم,1
573,عبدي فرحات شافع,1
574,اقة حافظ شخديتد,0
575,داوود عارف صميم,1
576,يفائقنة اظ شديد,0
577,رغيب عوض وارف,1
578,أشجان مشعل مديد,1
579,نجد نصرة راسخ,1
580,فئقة حافظ دشدي,0
581,فائقة حلايفظ دد,0
582,غزيل ذالشزارق رمضان,0
583,فقة آاءحظف شديد,0
584,منذرة مرشدي يعقوب,1
585,ائة حافظ شيسدشد,0
586,تالا رافد لطيف,1
587,خزنج رشوان عبادلاجبر,0
588,اقة محفظضا شديد,0
589,جوى غلام أمين,1
590,ؤائق حافظ شديد,0
591,سونيا لغبا أدؤع,0
592,عدسة خسإلام عبدليم,0
593,عبدالفتاح عبدالحكيم زكريا,1
594,ديم فياض محمود,1
595,أصيل محرز عبدالرحمن,1
596,قناضدين بر نوفل,0
597,فتون نسيب أكمل,1
598,فائقة حظ فشمديد,0
599,وعد عوض نجدت,1
600,بديع مطير عتابة,1
601,فائقة حافظ ةدتد,0
602,فاثئقخة ظف شديد,0
603,فائقة حافظ شيةد,0
604,عذاري خازن مروان,1
605,حمدان نهيان أكبر,1
606,فاة حافظ ششدخيد,0
607,أسد إياد هانئ,1
608,ولاء معمر معروف,1
609,عبدالمجيد خزعل عمران,1
610,ريوف سيف غازي,1
611,كهسفيةن يل قعقاع,0
612,رزينة رزق هزاع,1
613,أسد سطام معتصم,1
614,ائة حافظ حيشددد,0
615,بندر شهم مرتضى,1
616,جمعة عبدالحكيم رفاعي,1
617,كبارآى اهلئ اب,0
618,صابر نزار موفق,1
619,فائقة آحؤفظا دد,0
620,عبدالخالق عباس حجر,1
621,أرجن متجىب ثصاهئب,0
622,ولنة بإاريهم ذااعكر,0
623,ريمة دلعي مداح,0
624,باسل رغيب هواري,1
625,خلف أمية عدنان,1
626,فئة حافظ داشدآي,0
627,فائقة فحاظ شصيد,0
628,جميل مهيب غفار,1
629,عبهويد تفيح تاح,0
630,بلقيس عنترة أكرم,1
631,ريان أيهم سداد,1
632,عدنان ركين أسمر,1
633,بسمة جابر عادل,1
634,ورال ئغاي فتح,0
635,رسمي فيصل عقل,1
636,ذياب سادن شافي,1
637,عائدة فريد تليد,1
638,فقة حهاىفظ شيدد,0
639,حسين أوس عواد,1
640,أنوار جمال رويشد,1
641,نهءا آعابدين ضيف,0
642,رديف أزهر خليوي,1
643,سجى اق غمطغحو,0
644,مديدة جمكز صنتر,0
645,لطيفة علاء الدين قطب,1
646,سجى سمير بدر,1
647,معصومة فاخر راسخ,1
648,فائقة فحاظ عديج,0
649,فائقة حاأفإظ شد,0
650,خلف بشير معصوم,1
651,بهيجة فراج رفيق,1
652,فائقة خامحظف دي,0
653,فاة طاحسظف شديد,0
654,صلاح ثروت رماح,1
655,سعاد مزن بسام,1
656,فئاثئقة حافظ شي,0
657,فائقة ححاءفظ يد,0
658,الجازي حنظلة عبدالحكيم,1
659,حسام مجيد خزعل,1
660,رنا خضر فرحان,1
661,حصمحلغة صم عزت,0
662,دانة مكتوم إسحاق,1
663,عبادة إيهاب إياد,1
664,فائقة حابفئظ شد,0
665,أرغد نايف أكرم,1
666,شوكت علوان أمان,1
667,رسيمة سويد هادي,1
668,جعفر نسيم نشمي,1
669,بليغ مخلف قطب,1
670,عايدة مجيد حاشد,1
671,عبدالكريم معصوم بكار,1
672,فاة جحافسظ شديد,0
673,بهاء قيس ناهض,1
674,عقل مناف جبر,1
675,ائة سحاؤفظ دشدي,0
676,عبدالقادر مخلد غسان,1
677,أيهم رجاء غزوان,1
678,أمة مغيرة صعبدالآزعيإز,0
679,إسلام عويس جودت,1
680,دلال بهاإ ضنغفر,0
681,ئفراقخة حا شديد,0
682,هبة لوزت ناثب,0
683,راحيل علوان شعيب,1
684,حيدر كاسر ظافر,1
685,لجينة عبدالهادي نذير,1
686,فداشئقة حافظ دد,0
687,رسمي حسان فتح,1
688,أهيم راجح أيوب,1
689,نوار ميلاد حجر,1
690,أعماإمة عبدالحميد تو,0
691,لةل سؤماعان حاشد,0
692,ثائر نواف أكبر,1
693,ريم خضر قابد,0
694,حليمة باهر ضياء,1
695,دغيم ماهر داني,1
696,شعيب عبده لباب,1
697,قمر غفار محمود,1
698,قئة حاإفرظ شديد,0
699,روان قداح مطيع,1
700,افئ حافظ شحدءيد,0
701,افئةق مافظ شديد,0
702,حجر صديق عبدالعزيز,1
703,ذعار حنبل سنان,1
704,أزهار عبدالجليل كلاب,1
705,خملةص مدثر بعيش,0
706,وافئحةق حظ شديد,0
707,فئة حافظ بشىديد,0
708,نشوى كميت مرشدي,1
709,فئة حاىفتظ شديد,0
710,راضي غزوان ذبيان,1
711,بكري سداد ميثم,1
712,نورس نضال عبدالحي,1
713,فائغقءة حف شديد,0
714,وصةف رابح مبرور,0
715,فاةق حافظ شديد,0
716,اقة حافظ هشددؤي,0
717,حميد عبدالباسط طموح,1
718,اء رهيف تمهلدي,0
719,فائقة احظظصف شي,0
720,أحلام وليد مخلف,1
721,عيسى مجتبى عبدالرشيد,1
722,ربى افمع عدوان,0
723,فائقة حاحظ دشدي,0
724,دحام صدام مسيب,1
725,راضي ساجع عنترة,1
726,شامخ دهيم زاهي,1
727,إنعام عياش عجرم,1
728,خضر أيوب زاهر,1
729,نضال هود نارق,0
730,كاملة لبيد رابح,1
731,أدغم معتوق عبدالحق,1
732,لاجايز ذزصاهي ياد,0
733,ثائب تقي مناحي,1
734,مؤاء بهيةر نصوح,0
735,كريمة تليد أكمل,1
736,سعدة حكيم مرزوق,1
737,أس محبوب سءاثمح,0
738,البندري أجيد رفاعي,1
739,فاق حطاءفظ شديد,0
740,فخرية عبيد سرور,1
741,ئفئقاةق حف شديد,0
742,راسخ عدوان رئيف,1
743,أيمن عجرم مبروك,1
744,رجي عبدالجميل ذايلخضر,0
745,فائقة حتفظ دشدي,0
746,غزل رامز حمدان,1
747,آية لباب فشقي,0
748,فائقة حظ شدييتد,0
749,غصون عبدربه قعقاع,1
750,شامخ عبدالرحمن شكور,1
751,ضاري راغب زاخر,1
752,مطاعة فاضل مكني,0
753,طموح مجتبى تليد,1
754,ريم عبدالقيوم مهيب,1
755,كعيز فيتح عقيل,0
756,ضسية أعجد شريح,0
757,أشهب ضياء مطلب,1
758,أبرار غالب جعفر,1
759,أبلج غريب عبدالفتاح,1
760,سهل منير بارع,1
761,ساهر صارم إياس,1
762,عارف شيبان ضاهر,1
763,رحال أشهب فياض,1
764,ريمة بعالدشكور عخون,0
765,فمؤة حافظ يشدد,0
766,رشيق ربحي نوفل,1
767,إيثار خضر فائز,1
768,زين عبدالودود بارح,1
769,منال فرحات همام,1
770,أبو بكر قائد كعب,1
771,أميمة مأمون أسامة,1
772,عبير فاضل لبيد,1
773,عبدالرحمن شبيب حسن,1
774,خاتم مهند صميم,1
775,عليم عميد أجاويد,1
776,ألطاف سميع وائل,1
777,مطيعة عقيل ساهد,1
778,أغاريد سادن جرير,1
779,فاق حافظ يءشدءد,0
780,هواري أزور خأآض,0
781,أمل أيسر حنبل,1
782,ؤداعليا أد سناد,0
783,فاق لامفحظ شديد,0
784,اكيد عفسء عوض,0
785,ريتال منطر ألبغ,0
786,فاقئقهة حافظ شد,0
787,عجاج قاهر عبدالرب,1
788,عبدالمطلب رافع جليل,1
789,إدريس زاكي علاء الدين,1
790,دوجداؤن طر فكري,0
791,ئفارقكة حافظ شد,0
792,مجيبة ءكرااأن جب,0
793,عرفة سلطان حنظلة,1
794,رحال ربيع هادي,1
795,فائقة اشحظهف دي,0
796,صهيب مدحت محيا,1
797,جد عبدالقدوس حرمقاد,0
798,فغاهئقة حا شديد,0
799,إصلاح معصوم مظفر,1
800,أسلم ظفير حجاج,1
801,تمام أدغم أصيل,1
802,رنيم مروان نخرذ,0
803,حازم مدلج مرشد,1
804,زهراء نصار شريح,1
805,فاخئقشة حافظ دي,0
806,ننية سيد حسن,0
807,مي إبراهيم أوس,1
808,فئة ئحاتفظ شديد,0
809,مأذن وهبة هزري,0
810,صمصام نجدت رغيب,1
811,بازعة علاء الدين فاتح,1
812,أكرم كميت عبدالباقي,1
813,هائلة سامح عاؤش,0
814,أميمة مروان راضي,1
815,خاتم رابح فريد,1
816,رافقة جميل فالح,1
817,غيداء عروة شعبان,1
818,فائقة حا سشديؤد,0
819,فئة حفظا شدخيضد,0
820,أوس وسيم غلاب,1
821,رف زفوزمي حصيف,0
822,نوول اترم خويلد,0
823,سامية رياض جمال,1
824,فاق طحظافظ شيدد,0
825,فائقة فظ ييشمدد,0
826,شظةح عاكف سبع,0
827,ثفغائقة فظ شديد,0
828,عنتر حمدان معاوية,1
829,مءا هلال ؤنبىيل,0
830,فائقة احظف شيةد,0
831,افقئة نباسكط ري,0
832,ليا اطجقحر أطياف,0
833,جازم شامخ مزهر,1
